[ 00:40:33.740262 ] INFO   10467 async_log.c:335 create async_log thread successfully
[ 00:40:33.746663 ] INFO   10467 thread_manage.c:27 enter worker_init...
[ 00:41:11.505346 ] INFO   10481 thread_manage.c:14 ready to enter the loop...
[ 00:47:33.690286 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53206, conn_fd:9
[ 00:47:33.690986 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53207, conn_fd:9
[ 00:47:33.691621 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53208, conn_fd:9
[ 00:47:36.765331 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53209, conn_fd:9
[ 00:47:36.822560 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53210, conn_fd:9
[ 00:47:36.831753 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53211, conn_fd:9
[ 00:47:36.832500 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53212, conn_fd:9
[ 00:47:36.833241 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53213, conn_fd:9
[ 00:47:36.834223 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53214, conn_fd:9
[ 00:47:36.834921 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53215, conn_fd:9
[ 00:47:36.836381 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53216, conn_fd:9
[ 00:47:41.262848 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53217, conn_fd:9
[ 00:47:46.853901 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53218, conn_fd:9
[ 00:48:00.529103 ] INFO   10467 bitchttpd.c:87 Got connection from ip:127.0.0.1, port:53219, conn_fd:9
